period_label,stage,check_name,observed_value,expected_value,max_abs_difference,observed_count,check_status,fail_count
ZN_2024_VALIDATION,VALIDATION,runtime_lag_strict_prior_and_non_stale,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,provider_condition_available_on_forecast_rows,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,forecast_rows_have_ladder_rows,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,roll_transition_events_explicitly_ledgered,TRUE,TRUE,,1,PASS,0
ZN_2024_VALIDATION,VALIDATION,hourly_timestamps_unique,TRUE,TRUE,,5923,PASS,0
ZN_2024_VALIDATION,VALIDATION,daily_runtime_dates_unique,TRUE,TRUE,,4322,PASS,0
ZN_2024_VALIDATION,VALIDATION,forecast_timestamps_unique,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,position_rows_match_ladder_rows,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,backtest_entries_subset_forecast,TRUE,TRUE,,5918,PASS,0
ZN_2024_VALIDATION,VALIDATION,backtest_exits_subset_hourly,TRUE,TRUE,,5918,PASS,0
ZN_2024_VALIDATION,VALIDATION,hourly_continuous_ohlc_equals_raw_plus_additive_adjustment,0.0,0.0,0.0,5923,PASS,
ZN_2024_VALIDATION,VALIDATION,no_oos_lockbox_forward_or_promotion,TRUE,TRUE,,4,PASS,0
ZN_2024_VALIDATION,VALIDATION,diagnostics_not_alpha_statistics,TRUE,TRUE,,1,PASS,0
