ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,dataset
2026-05-18 00:00:00+00:00,35,101,33,117.97,118.77,117.72,118.56,282454,33,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,12,116.12,116.94,116.12,116.49,29679,12,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,1353,605.0,609.8,605.0,609.8,14610,1353,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,27,106.16,106.2,105.42,105.7,16825,27,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,21,114.99,115.0,114.68,114.9,121119,21,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,33,118.5,118.61,118.04,118.06,26027,33,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,12,116.77,116.84,116.07,116.32,24809,12,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,22634,21.8,24.2,21.45,23.5,8088,22634,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,18,124.37,124.41,123.81,123.93,1196694,18,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,18,124.32,124.42,123.83,124.11,138392,18,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,24,105.655,105.695,105.56,105.595,619380,24,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,24,105.68,105.69,105.57,105.64,149758,24,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,803,5875.0,5915.0,5833.0,5840.0,536253,803,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,690,24430.0,24741.0,24242.0,24360.0,37194,690,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,12,116.53,116.86,116.02,116.21,360102,12,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,1353,615.0,615.0,610.9,611.0,1256,1353,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,6,120.66,120.66,120.17,120.17,20,6,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,803,5880.0,5910.0,5846.0,5848.0,78573,803,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,1353,611.4,616.1,609.0,609.9,111975,1353,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,15,105.95,106.02,105.81,105.855,229374,15,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,103,15,105.98,105.98,105.82,105.905,9213,15,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,27,106.3,106.3,105.36,105.78,150424,27,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,21,114.98,115.03,114.66,114.75,952426,21,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,1228,394.3,396.2,390.9,391.2,232,1228,XEUR.EOBI
2026-05-19 00:00:00+00:00,35,101,33,118.56,118.63,117.94,118.08,224551,33,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,6,120.65,121.38,120.63,121.38,8,6,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,27,105.94,107.32,105.82,107.14,15790,27,XEUR.EOBI
