root,entry_bar_end_utc,exit_bar_end_utc,entry_completed_trading_date,exit_completed_trading_date,entry_raw_symbol,exit_raw_symbol,held_contracts_unit_plumbing,position_change_from_previous_pnl_row,entry_continuous_close,exit_continuous_close,price_change_points,contract_multiplier,gross_pnl_usd,etf_fee_per_side_usd,estimated_etf_fee_usd,net_after_etf_fees_usd,cumulative_gross_pnl_usd,cumulative_estimated_etf_fees_usd,cumulative_net_after_etf_fees_usd,cost_status,lookahead_status,backtest_row_status
ZT,2023-08-17T07:00:00Z,2023-08-17T08:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,0,102.16015625,102.203125,0.04296875,2000.0,0.0,1.36,0.0,0.0,4968.75,767.0400000000063,4201.710000000026,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T08:00:00Z,2023-08-17T09:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,-1,-1,102.203125,102.1875,-0.015625,2000.0,31.25,1.36,1.36,29.89,5000.0,768.4000000000063,4231.600000000027,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T09:00:00Z,2023-08-17T10:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,1,102.1875,102.22265625,0.03515625,2000.0,0.0,1.36,1.36,-1.36,5000.0,769.7600000000064,4230.240000000027,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T10:00:00Z,2023-08-17T11:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,-1,-1,102.22265625,102.203125,-0.01953125,2000.0,39.0625,1.36,1.36,37.7025,5039.0625,771.1200000000064,4267.942500000027,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T11:00:00Z,2023-08-17T12:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,1,102.203125,102.24609375,0.04296875,2000.0,0.0,1.36,1.36,-1.36,5039.0625,772.4800000000064,4266.582500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T12:00:00Z,2023-08-17T13:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,-1,-1,102.24609375,102.2421875,-0.00390625,2000.0,7.8125,1.36,1.36,6.4525,5046.875,773.8400000000064,4273.035000000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T13:00:00Z,2023-08-17T14:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,-1,0,102.2421875,102.23828125,-0.00390625,2000.0,7.8125,1.36,0.0,7.8125,5054.6875,773.8400000000064,4280.847500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T14:00:00Z,2023-08-17T15:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,1,102.23828125,102.2109375,-0.02734375,2000.0,-0.0,1.36,1.36,-1.36,5054.6875,775.2000000000064,4279.487500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T15:00:00Z,2023-08-17T16:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,0,102.2109375,102.171875,-0.0390625,2000.0,-0.0,1.36,0.0,-0.0,5054.6875,775.2000000000064,4279.487500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T16:00:00Z,2023-08-17T17:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,0,102.171875,102.18359375,0.01171875,2000.0,0.0,1.36,0.0,0.0,5054.6875,775.2000000000064,4279.487500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T17:00:00Z,2023-08-17T18:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,0,102.18359375,102.1640625,-0.01953125,2000.0,-0.0,1.36,0.0,-0.0,5054.6875,775.2000000000064,4279.487500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T18:00:00Z,2023-08-17T19:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,0,0,102.1640625,102.21875,0.0546875,2000.0,0.0,1.36,0.0,0.0,5054.6875,775.2000000000064,4279.487500000028,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
