period_label,stage,baseline_mode,trial,row_count,average_abs_position_all_rows,average_abs_position_active_rows,gross_pnl_usd,fees_usd,net_after_fees_usd,baseline_status,random_net_stdev,random_net_min,random_net_max,live_net_minus_random_mean,live_net_z_vs_random,positive_null_net_minus_constant_long,positive_null_z_vs_random
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,47,11770,0.3201359388275276,1.485218762317698,9750.0,10144.180000000732,-394.1800000007315,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,48,11770,0.3201359388275276,1.485218762317698,-19328.125,10222.700000000737,-29550.82500000074,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,49,11770,0.3201359388275276,1.485218762317698,-375.0,10252.900000000758,-10627.900000000758,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,50,11770,0.3201359388275276,1.485218762317698,32453.125,10145.690000000746,22307.434999999256,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,51,11770,0.3201359388275276,1.485218762317698,14046.875,10187.97000000073,3858.9049999992694,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,52,11770,0.3201359388275276,1.485218762317698,1546.875,10200.050000000725,-8653.175000000725,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,53,11770,0.3201359388275276,1.485218762317698,17546.875,10135.120000000745,7411.754999999255,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,54,11770,0.3201359388275276,1.485218762317698,-18687.5,10216.66000000075,-28904.16000000075,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,55,11770,0.3201359388275276,1.485218762317698,-8687.5,10086.800000000723,-18774.300000000723,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,56,11770,0.3201359388275276,1.485218762317698,12953.125,10203.070000000767,2750.0549999992327,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,57,11770,0.3201359388275276,1.485218762317698,-4562.5,10274.040000000783,-14836.540000000783,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,58,11770,0.3201359388275276,1.485218762317698,4750.0,10115.490000000715,-5365.490000000715,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,59,11770,0.3201359388275276,1.485218762317698,3140.625,10260.450000000737,-7119.825000000737,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,60,11770,0.3201359388275276,1.485218762317698,-10390.625,10289.14000000073,-20679.76500000073,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,61,11770,0.3201359388275276,1.485218762317698,1734.375,10126.06000000073,-8391.68500000073,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,62,11770,0.3201359388275276,1.485218762317698,11515.625,10142.670000000739,1372.9549999992614,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,63,11770,0.3201359388275276,1.485218762317698,-6937.5,10248.370000000761,-17185.87000000076,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION_SUMMARY,64_TRIALS,11770,0.3201359388275276,1.485218762317698,,,-9024.523046875744,RANDOM_NULL_SUMMARY_FOR_RESIDUAL_POSITIVE_NULL_ATTRIBUTION,10831.587286217848,-31145.560000000743,22307.434999999256,14367.153046875748,1.3264125254436687,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RESIDUAL_POSITIVE_NULL_REFERENCE,DAY_SHUFFLED,11770,0.3201359388275276,1.485218762317698,8625.0,5130.9800000000005,3494.020000000003,RESIDUAL_POSITIVE_NULL_ATTRIBUTED_AGAINST_CONSTANT_LONG_AND_RANDOM_POSITION_BASELINES,,,,,,9566.598589634668,1.1557440951248565
ZN_2024_VALIDATION,VALIDATION,LIVE_REPORTED,,5918,0.6966880702940182,2.0200881920627145,29968.75,5349.93,24618.820000000003,REFERENCE_LIVE_RESULT,,,,,,,
ZN_2024_VALIDATION,VALIDATION,CONSTANT_LONG_ZN_AVERAGE_ABS_POSITION,,5918,0.6966880702940182,2.0200881920627145,-3701.155373436972,0.0,-3701.155373436972,PASSIVE_BETA_ATTRIBUTION_BASELINE_NO_INITIAL_ENTRY_FEE_UNDER_EXISTING_ROW_CONVENTION,,,,,,,
ZN_2024_VALIDATION,VALIDATION,RANDOM_POSITION_PERMUTATION,0,5918,0.6966880702940182,2.0200881920627145,-3265.625,11039.610000000526,-14305.235000000526,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2024_VALIDATION,VALIDATION,RANDOM_POSITION_PERMUTATION,1,5918,0.6966880702940182,2.0200881920627145,-890.625,10982.230000000527,-11872.855000000527,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2024_VALIDATION,VALIDATION,RANDOM_POSITION_PERMUTATION,2,5918,0.6966880702940182,2.0200881920627145,7890.625,11071.320000000538,-3180.695000000538,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2024_VALIDATION,VALIDATION,RANDOM_POSITION_PERMUTATION,3,5918,0.6966880702940182,2.0200881920627145,-4125.0,11074.340000000555,-15199.340000000555,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
