lane_class,root,asset_group,row_id,book_label,raw_symbol,instrument_id,completed_trading_date,provider_condition_status,additive_back_adjustment,raw_close,continuous_close,lineage_status,derived_completed_bar_end_utc,raw_open,raw_high,raw_low,raw_volume,continuous_open,continuous_high,continuous_low,continuous_volume
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.28125,109.28125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T05:00:00Z,109.28125,109.3125,109.28125,1215.0,109.28125,109.3125,109.28125,1215.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.265625,109.265625,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T06:00:00Z,109.296875,109.296875,109.25,723.0,109.296875,109.296875,109.25,723.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.296875,109.296875,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T07:00:00Z,109.265625,109.296875,109.234375,2018.0,109.265625,109.296875,109.234375,2018.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.34375,109.34375,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T08:00:00Z,109.296875,109.34375,109.28125,3152.0,109.296875,109.34375,109.28125,3152.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.34375,109.34375,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T09:00:00Z,109.34375,109.40625,109.28125,6771.0,109.34375,109.40625,109.28125,6771.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.359375,109.359375,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T10:00:00Z,109.34375,109.359375,109.28125,3709.0,109.34375,109.359375,109.28125,3709.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.46875,109.46875,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T11:00:00Z,109.359375,109.46875,109.359375,4080.0,109.359375,109.46875,109.359375,4080.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.53125,109.53125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T12:00:00Z,109.46875,109.5625,109.46875,8101.0,109.46875,109.5625,109.46875,8101.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.578125,109.578125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T13:00:00Z,109.53125,109.640625,109.5,11272.0,109.53125,109.640625,109.5,11272.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.40625,109.40625,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T14:00:00Z,109.59375,109.65625,109.34375,32187.0,109.59375,109.65625,109.34375,32187.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.421875,109.421875,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T15:00:00Z,109.40625,109.484375,109.34375,20940.0,109.40625,109.484375,109.34375,20940.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.0625,109.0625,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T16:00:00Z,109.390625,109.390625,109.0,40257.0,109.390625,109.390625,109.0,40257.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH4,110030,2023-11-22,PROVIDER_CONDITION_AVAILABLE,0.0,109.125,109.125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2023-11-22T17:00:00Z,109.0625,109.203125,109.046875,22871.0,109.0625,109.203125,109.046875,22871.0
