extract_status,source_database,ninjatrader_master_instrument_id,ninjatrader_master_name,ninjatrader_description,instrument_type_code,instrument_type_label,currency_code_raw,point_value,tick_size,trading_hours_template,is_server_supported,user_data_bytes,sanitized_symbol_mapping_tokens,market_data_rows_included,account_order_or_execution_fields_included,provider_api_accessed,production_mapping_status
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150753754,TEC,Nano SuperTech Index Futures,0,FUTURE,7,100.0,0.01,CME US Index Futures ETH,1,524,,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,168,TF,Russel 2000 Index Mini Futures,0,FUTURE,7,50.0,0.1,Ipe Europe Futures,1,1728,@TFS ; TF|||50 ; R2000 Ind Mini||ICE_IPE ; TFE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150753643,TN,Ultra 10-Year U.S. Treasury Note Futures,0,FUTURE,7,1000.0,0.015625,CBOT Interest Rate ETH,1,1620,@TN ; TN|CBOT ; TNA ; -\ULTRA 10-YEAR U.S. T-NOTES - CHICAGO BOARD OF TRADE ~ ULTRA UST 10Y - CHICAGO BOARD OF TRADE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,169,TRE,Turkish Lira Euro Futures,0,FUTURE,7,125000.0,0.0001,CME FX Futures ETH,1,1910,@TRE ; TRE|10000,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,170,TRY,Turkish Lira Futures,0,FUTURE,7,200000.0,0.0001,CME FX Futures ETH,1,2636,@TRY ; TRY|10000,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,171,TT,Cotton Futures,0,FUTURE,7,50000.0,0.0001,Nymex Metals - Energy ETH,1,3302,QTT ; TT|NYMEX ; NTT,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,172,TW,SGX MSCI Taiwan Index Futures,0,FUTURE,7,100.0,0.1,SGX Index Futures,0,2118,STW,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150753751,TWE,20-Year U.S. Treasury Bond,0,FUTURE,7,1000.0,0.03125,CBOT Interest Rate ETH,1,740,@TWE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,173,TWS,Two-Year EUR Swapnote Futures,0,FUTURE,3,1000.0,0.005,Liffe Swapnote Futures,0,2544,TWS|ICL ; TWS|ICEEU ; LFTWS,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,174,UB,Ultra U.S. Treasury Bond Futures,0,FUTURE,7,1000.0,0.03125,CBOT Interest Rate ETH,1,2812,@UB ; XUB ; UB|CBOT ; UB|CME_CBT ; -\ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE ~ ULTRA UST BOND - CHICAGO BOARD OF TRADE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
