provider,dataset,schema,stype_in,provider_symbol,instrument_id,timestamp_utc,completed_trading_date,open,high,low,close,volume,quarantine_status
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MNQM6,42004936,2026-05-19T00:00:00Z,2026-05-19,29134.75,29190.0,28663.0,28950.5,2717620,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZWN6,4121243,2026-05-19T00:00:00Z,2026-05-19,666.0,679.5,661.0,668.0,62382,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZFM6,42156042,2026-05-19T00:00:00Z,2026-05-19,106.8828125,106.9140625,106.4140625,106.59375,1762120,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,QMN6,3159,2026-05-19T00:00:00Z,2026-05-19,102.325,104.85,102.225,103.95,4839,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZSN6,194904,2026-05-19T00:00:00Z,2026-05-19,1213.0,1220.75,1208.0,1210.25,70512,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZMN6,748931,2026-05-19T00:00:00Z,2026-05-19,334.5,338.2,330.7,332.3,42651,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZNM6,42000661,2026-05-19T00:00:00Z,2026-05-19,109.25,109.296875,108.5625,108.8125,2666805,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MNQM6,42004936,2026-05-20T00:00:00Z,2026-05-20,28949.5,29397.0,28796.0,29192.25,2457447,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,M2KM6,42002073,2026-05-20T00:00:00Z,2026-05-20,2754.1,2824.0,2740.4,2810.6,140152,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZLN6,608206,2026-05-20T00:00:00Z,2026-05-20,75.45,76.32,74.51,74.67,55756,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZSN6,194904,2026-05-20T00:00:00Z,2026-05-20,1210.0,1212.0,1196.0,1199.25,77240,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZWN6,4121243,2026-05-20T00:00:00Z,2026-05-20,668.25,672.75,655.5,661.0,55555,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MYMM6,42002662,2026-05-20T00:00:00Z,2026-05-20,49485.0,50159.0,49294.0,49982.0,185416,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZNM6,42000661,2026-05-20T00:00:00Z,2026-05-20,108.796875,109.5,108.609375,109.25,2835691,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,HEM6,42005488,2026-05-20T00:00:00Z,2026-05-20,97.65,98.225,97.125,97.2,8753,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MESM6,42005163,2026-05-20T00:00:00Z,2026-05-20,7381.5,7458.0,7356.0,7420.75,1488258,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZMN6,748931,2026-05-20T00:00:00Z,2026-05-20,332.5,334.2,328.8,330.6,37627,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZFM6,42156042,2026-05-20T00:00:00Z,2026-05-20,106.59375,107.0625,106.484375,106.875,1848944,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZCN6,495552,2026-05-20T00:00:00Z,2026-05-20,475.75,477.0,462.75,465.75,186881,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,RBN6,781272,2026-05-20T00:00:00Z,2026-05-20,3.5527,3.5692,3.3573,3.3903,30934,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,LEM6,42290645,2026-05-20T00:00:00Z,2026-05-20,254.75,254.85,251.6,253.175,13018,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZTM6,42370722,2026-05-20T00:00:00Z,2026-05-20,103.14453125,103.3359375,103.11328125,103.234375,1268329,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,QMN6,3159,2026-05-20T00:00:00Z,2026-05-20,104.0,104.425,96.975,98.875,9967,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZLN6,608206,2026-05-21T00:00:00Z,2026-05-21,74.62,74.96,73.51,73.85,56038,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
