row_id,author_market_code,candidate_symbol,candidate_kind,matched_datasets,match_count
APPENDIX_C_180_003,BRE,BRE.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_180_003,BRE,BR.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,,0
APPENDIX_C_180_004,UC,UC.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFLL.IMPACT,1
APPENDIX_C_180_004,UC,CNH.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_180_005,SIR,SIR.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_180_006,MXP,MXP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_180_006,MXP,6M.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_180_007,RUR,RUR.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_180_008,SND,SND.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_181_001,ALI,ALI.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_181_002,HG,HG.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_181_003,MGC,MGC.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_181_004,SCI,SCI.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFLL.IMPACT,1
APPENDIX_C_181_004,SCI,FEF.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_181_004,SCI,TIO.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_181_005,PA,PA.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_181_006,PL,PL.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_181_007,SI,SI.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3|IFLL.IMPACT,2
APPENDIX_C_181_008,MBT,MBT.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_181_009,ETHUSDRR,ETHUSDRR.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_181_009,ETHUSDRR,ETH.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_181_009,ETHUSDRR,MET.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3|IFLL.IMPACT,2
APPENDIX_C_182_001,BZ,BZ.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_182_002,QM,QM.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_182_003,HH,HH.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_182_004,RB,RB.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_182_005,QG,QG.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_182_006,HO,HO.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3|IFLL.IMPACT,2
APPENDIX_C_183_001,AIGCI,AIGCI.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_183_002,CSC,CSC.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_003,ZC,ZC.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_004,GF,GF.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_005,HE,HE.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_006,LE,LE.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_007,ZO,ZO.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3|IFLL.IMPACT,2
APPENDIX_C_183_008,KE,KE.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_009,ZR,ZR.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3|IFUS.IMPACT,2
APPENDIX_C_183_010,ZS,ZS.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_011,ZM,ZM.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_012,ZL,ZL.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_183_013,ZW,ZW.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
